backlog step,collisions,collisions human,entropy,flow horizontal,flow vertical,fuel,gd time,horizon,i,ii,inflow,inflow hourly,kl,klcoef,lr,n total veh step,n veh step mean,n veh step sum,n veh unique,outflow,outflow hourly,policy loss,raw reward mean,raw reward sum,reward mean,reward sum,rollout time,speed,speed human,speed rl,speed rl std,step,total time
446,0,0,1.1,700,700,1420000,,2000,0,0,227,817,6.42e-13,,,541,49,98000,129,150,540,-0.0816,0.075,150,-0.00503,-10,23,0.437,0.452,0.423,0.804,,
442,0,0,,700,700,1430000,,2000,0,1,227,817,,,,534,47,95300,130,150,540,,0.075,150,6.84e-05,0.137,20,0.462,0.478,0.446,0.835,,
446,0,0,,700,700,1460000,,2000,0,2,229,824,,,,540,48,97300,127,153,551,,0.0765,153,0.000966,1.93,21,0.437,0.456,0.419,0.815,,
450,0,0,,700,700,1340000,,2000,0,3,226,814,,,,545,48,97600,129,146,526,,0.073,146,-0.000623,-1.25,23,0.447,0.467,0.429,0.796,,
444,0,0,,700,700,1420000,,2000,0,4,234,842,,,,535,46,93800,131,162,583,,0.081,162,0.0022,4.4,21,0.486,0.505,0.467,0.862,,
444,0,0,,700,700,1410000,,2000,0,5,235,846,,,,533,46,92600,132,163,587,,0.0815,163,0.00205,4.09,21,0.492,0.513,0.472,0.852,,
449,0,0,,700,700,1340000,,2000,0,6,230,828,,,,539,46,93700,131,153,551,,0.0765,153,-0.00014,-0.28,21,0.465,0.484,0.447,0.851,,
453,0,0,,700,700,1350000,,2000,0,7,218,785,,,,545,47,95500,125,139,500,,0.0695,139,-0.00281,-5.61,22,0.444,0.464,0.426,0.821,,
448,0,0,,700,700,1410000,,2000,0,8,226,814,,,,538,46,92900,128,156,562,,0.078,156,0.000788,1.58,21,0.467,0.485,0.451,0.832,,
446,0,0,,700,700,1470000,,2000,0,9,227,817,,,,537,47,94700,128,156,562,,0.078,156,0.00078,1.56,21,0.478,0.501,0.458,0.87,,
442,0,0,,700,700,1510000,,2000,0,10,236,850,,,,533,47,95100,132,164,590,,0.082,164,0.00227,4.55,22,0.485,0.506,0.466,0.878,,
452,0,0,,700,700,1520000,,2000,0,11,216,778,,,,545,48,96500,123,150,540,,0.075,150,-0.000632,-1.26,21,0.442,0.459,0.426,0.796,,
451,0,0,,700,700,1390000,,2000,0,12,222,799,,,,540,46,92000,127,149,536,,0.0745,149,-0.000822,-1.64,21,0.462,0.482,0.443,0.84,,
442,0,0,,700,700,1410000,,2000,0,13,242,871,,,,540,50,101000,139,166,598,,0.083,166,0.00257,5.14,22,0.467,0.485,0.451,0.804,,
448,0,0,,700,700,1390000,,2000,0,14,227,817,,,,537,46,92700,127,154,554,,0.077,154,3.69e-07,0.000738,22,0.469,0.49,0.449,0.821,,
442,0,0,,700,700,1390000,,2000,0,15,236,850,,,,538,49,98700,134,158,569,,0.079,158,0.000792,1.58,22,0.465,0.482,0.45,0.822,,
418,0,0,1.09,700,700,1470000,0.588,2000,1,0,294,1060,9.31e-11,0,0.001,509,47,94200,162,228,821,-0.854,0.114,228,0.0146,29,21,0.647,0.669,0.626,1.06,,356
423,0,0,,700,700,1390000,,2000,1,1,270,972,,,,513,46,92200,150,198,713,,0.099,198,0.00738,14,22,0.609,0.631,0.588,1.05,,
412,0,0,,700,700,1410000,,2000,1,2,308,1110,,,,500,45,90900,169,240,864,,0.12,240,0.0147,29,21,0.695,0.72,0.672,1.14,,
417,0,0,,700,700,1410000,,2000,1,3,280,1010,,,,511,48,96400,156,207,745,,0.103,207,0.00754,15,22,0.59,0.609,0.572,1.01,,
413,0,0,,700,700,1380000,,2000,1,4,297,1070,,,,500,44,89600,164,229,824,,0.115,229,0.0111,22,21,0.686,0.713,0.661,1.14,,
412,0,0,,700,700,1510000,,2000,1,5,290,1040,,,,499,44,89500,159,223,803,,0.112,223,0.00947,18,22,0.682,0.706,0.66,1.16,,
418,0,0,,700,700,1390000,,2000,1,6,285,1030,,,,504,44,88200,158,218,785,,0.109,218,0.00808,16,21,0.682,0.71,0.656,1.15,,
425,0,0,,700,700,1390000,,2000,1,7,274,986,,,,515,46,92800,153,204,734,,0.102,204,0.00529,10,21,0.619,0.642,0.597,1.04,,
419,0,0,,700,700,1560000,,2000,1,8,282,1020,,,,507,45,91500,156,224,806,,0.112,224,0.00871,17,22,0.657,0.68,0.634,1.07,,
419,0,0,,700,700,1430000,,2000,1,9,292,1050,,,,508,45,91800,164,228,821,,0.114,228,0.00904,18,21,0.664,0.689,0.64,1.09,,
