step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,15.0094,2000,0.440439,0.412865,0.767834,0.471243,150.562,101.125,542.025,364.05,9.5,3.8125,1.4875e+06,296.194,350.296,700,700,0.0268125,53.625,-0.000346329,-0.692658,28.3869,56773.8,84.5,-0.0190884,-2.07379e-09,1.09861,0.530291,241.732
1,0,0.001,14.8287,2000,0.506007,0.471421,0.842605,0.544514,167.562,116.938,603.225,420.975,11.625,3.75,1.49299e+06,286.515,340.746,700,700,0.0294063,58.8125,0.000521345,1.04269,28.4594,56918.8,93.4375,-0.0498243,4.88995e-10,1.09034,0.473873,480.731
2,0,0.001,14.0077,2000,0.905778,0.843777,1.26639,0.976187,242.5,197.562,873,711.225,14.375,5.625,1.51901e+06,255.048,303.294,700,700,0.0628438,125.688,0.00639314,12.7863,25.5911,51182.2,131.125,-0.602998,-4.80187e-09,1.06949,0.45847,706.285
3,0,0.001,12.663,2000,1.39822,1.31708,1.95214,1.48919,307.375,271.625,1106.55,977.85,10.5,4.375,1.44771e+06,220.462,262.014,700,700,0.109562,219.125,0.0119844,23.9688,21.9112,43822.3,163.562,-1.0481,-2.05998e-10,1.06103,0.53132,910.323
4,0,0.001,11.8225,2000,1.85873,1.75179,2.46247,1.97873,356.188,328.812,1282.28,1183.72,8.375,3.9375,1.52471e+06,201.447,238.367,700,700,0.143469,286.938,0.0142528,28.5056,19.513,39026,188,-1.32219,2.19148e-10,1.0444,0.391117,1100.71
5,0,0.001,12.3848,2000,1.58603,1.49215,2.2285,1.69198,313.938,288.625,1130.18,1039.05,5.5,2.8125,1.52622e+06,222.269,260.254,700,700,0.130562,261.125,0.00954079,19.0816,20.1301,40260.1,166.938,-0.889556,-2.98021e-10,1.05706,0.438357,1300.18
6,0,0.001,12.6687,2000,2.20605,2.11292,2.76729,2.30697,459.75,421.75,1655.1,1518.3,17,7.6875,1.53952e+06,147.507,187.69,700,700,0.168375,336.75,0.0145862,29.1724,20.8914,41782.8,239.812,-1.35741,1.61509e-10,0.988558,0.441157,1504.2
7,0,0.001,11.6789,2000,2.45585,2.34401,2.96226,2.5788,460.812,426.25,1658.92,1534.5,14.375,7.9375,1.4809e+06,148.001,184.498,700,700,0.177187,354.375,0.0136729,27.3457,19.1038,38207.6,239.812,-1.24875,-8.68189e-11,0.980267,0.341241,1692.62
8,0,0.001,11.8872,2000,2.51677,2.39533,3.03362,2.65072,454.625,423.062,1636.65,1523.03,13.375,6.75,1.50175e+06,154.437,189.623,700,700,0.178094,356.188,0.0121254,24.2509,18.4444,36888.9,236.75,-1.14949,1.71895e-10,0.984346,0.491271,1884.12
9,0,0.001,11.5389,2000,1.66807,1.57239,2.57543,1.77555,307.5,286.312,1107,1030.73,5,2.75,1.59724e+06,224.374,259.911,700,700,0.130656,261.312,0.00285534,5.71069,18.7927,37585.4,164,-0.242781,-4.14932e-10,1.04852,0.346657,2069.88
10,0,0.001,11.7858,2000,2.40704,2.28022,3.02611,2.54786,424.938,401.062,1529.78,1443.83,8.4375,3.875,1.60603e+06,167.229,201.818,700,700,0.179437,358.875,0.0111328,22.2656,18.192,36383.9,222.25,-1.0192,3.57969e-10,0.99045,0.405943,2259.66
11,0,0.001,12.8958,2000,2.40957,2.33835,2.96804,2.48468,505.625,457.125,1820.25,1645.65,24.6875,11.125,1.49656e+06,121.484,162.861,700,700,0.166844,333.688,0.00786823,15.7365,21.1714,42342.9,262.562,-0.623042,-1.17328e-09,0.875552,0.468277,2467.38
12,0,0.001,13.0213,2000,2.55029,2.47736,3.12967,2.62748,528,481.25,1900.8,1732.5,24.375,12.0625,1.48409e+06,111.489,151.822,700,700,0.179688,359.375,0.00914779,18.2956,20.7374,41474.9,274.188,-0.787689,4.85564e-11,0.871766,0.54317,2677.14
13,0,0.001,13.1081,2000,2.64796,2.58912,3.19733,2.70932,579,528,2084.4,1900.8,27.375,13.125,1.49565e+06,89.0363,131.239,700,700,0.195563,391.125,0.0108658,21.7317,21.5357,43071.4,299.062,-1.05792,-6.90719e-10,0.817195,0.573373,2888.34
14,0,0.001,13.0555,2000,2.38173,2.31671,3.02685,2.44984,528.312,476.625,1901.92,1715.85,25.875,10.9375,1.49194e+06,109.094,151.845,700,700,0.173625,347.25,0.0064093,12.8186,21.8404,43680.8,273.25,-0.564929,-7.19534e-10,0.862986,0.400931,3098.53
