step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,15.991,2000,0.485158,0.451231,0.794751,0.523232,161.5,111,581.4,399.6,10,3.625,1.47065e+06,294.234,348.419,700,700,0.0305,61,-0.00139067,-2.78134,28.5657,57131.3,89.625,0.108896,-1.29551e-10,1.09861,0.530782,257.46
1,0,0.001,15.9851,2000,0.478809,0.447308,0.810745,0.514071,159.062,111.312,572.625,400.725,8.25,2.6875,1.49011e+06,293.009,347.045,700,700,0.0350312,70.0625,0.000562623,1.12525,28.4465,56893,88.8125,-0.0412501,1.06276e-10,1.09853,0.464451,514.997
2,0,0.001,16.5918,2000,0.459604,0.42888,0.781046,0.494075,154.312,105.125,555.525,378.45,10.625,4.25,1.47274e+06,296.584,350.631,700,700,0.026,52,-0.00132269,-2.64539,28.4021,56804.1,87.375,0.113607,3.28139e-10,1.09844,0.214442,781.888
3,0,0.001,16.5131,2000,0.523786,0.487981,0.849147,0.564211,168.25,119.938,605.7,431.775,10.5,3.6875,1.48494e+06,290.976,344.318,700,700,0.0337188,67.4375,0.000772163,1.54433,28.1238,56247.6,94.0625,-0.0891141,-5.51683e-09,1.09824,0.304104,1047.61
4,0,0.001,16.6201,2000,0.523319,0.489026,0.859805,0.561713,169.812,118.875,611.325,427.95,11,4.375,1.43528e+06,288.16,341.326,700,700,0.0319375,63.875,7.65661e-05,0.153132,28.011,56022,94.5,0.0510125,-7.701e-11,1.09788,-0.271139,1314.5
5,0,0.001,16.6275,2000,0.453642,0.424276,0.815865,0.486493,149.125,102.688,536.85,369.675,8.5,2.625,1.47003e+06,296.977,349.342,700,700,0.0300938,60.1875,-0.000281993,-0.563986,27.3178,54635.6,84.5,0.0871448,-2.02504e-10,1.09732,0.239639,1582.02
6,0,0.001,16.6296,2000,0.507153,0.473821,0.874382,0.544303,163.688,116.562,589.275,419.625,10.375,3.5625,1.49584e+06,286.878,339.34,700,700,0.0323437,64.6875,0.000214941,0.429882,27.5375,55074.9,91.5,-0.00741506,3.26362e-12,1.09665,0.263633,1849.65
7,0,0.001,16.3096,2000,0.64447,0.60275,0.972567,0.691393,197.062,149.062,709.425,536.625,11.625,4.8125,1.46377e+06,275.678,328.262,700,700,0.0454688,90.9375,0.00326263,6.52525,27.7708,55541.6,108.875,-0.296064,-8.73348e-11,1.09554,0.505689,2111.82
8,0,0.001,15.816,2000,0.594055,0.557882,0.962282,0.634704,181.75,134.75,654.3,485.1,10.375,4.375,1.46925e+06,280.064,331.535,700,700,0.0414375,82.875,0.0018618,3.72359,27.006,54012.1,100.5,-0.140712,-4.31921e-09,1.09456,0.511949,2366.52
9,0,0.001,15.6948,2000,0.676799,0.633762,1.02939,0.725016,201.438,152.5,725.175,549,13,5,1.47033e+06,273.506,324.732,700,700,0.04375,87.5,0.0022266,4.45321,26.9497,53899.3,110.375,-0.181524,-2.40616e-09,1.09301,0.426913,2619.19
10,0,0.001,15.6216,2000,0.717268,0.672572,1.07552,0.767421,207.812,162.062,748.125,583.425,10.875,3.9375,1.46421e+06,269.408,319.873,700,700,0.0538438,107.688,0.00431185,8.6237,26.5083,53016.6,113.375,-0.424159,5.59337e-09,1.09156,0.548262,2870.81
11,0,0.001,16.1483,2000,0.775528,0.722026,1.13056,0.835685,215.875,170.062,777.15,612.225,12.625,4.4375,1.45989e+06,267.13,316.403,700,700,0.0534687,106.938,0.00374825,7.49649,26.0023,52004.6,117.688,-0.309547,3.77801e-09,1.08942,0.449949,3130.89
12,0,0.001,15.1717,2000,0.941167,0.878132,1.28907,1.01291,252.688,205.562,909.675,740.025,13.25,5.5,1.42946e+06,251.101,299.477,700,700,0.0696563,139.312,0.0070073,14.0146,25.7216,51443.2,136.312,-0.648885,1.3597e-09,1.08633,0.532377,3384.86
13,0,0.001,14.5773,2000,0.898807,0.839567,1.30187,0.965657,237.125,190.688,853.65,686.475,12.5,4.25,1.40847e+06,254.877,302.446,700,700,0.0640938,128.188,0.00519028,10.3806,25.0317,50063.3,127.5,-0.442284,-3.33691e-10,1.08402,-0.111836,3619.07
14,0,0.001,14.3588,2000,1.01783,0.952219,1.43774,1.09166,257.812,212.75,928.125,765.9,13.875,4.625,1.43981e+06,244.113,290.134,700,700,0.0716875,143.375,0.00636058,12.7212,24.2627,48525.5,138.438,-0.528017,-5.00598e-11,1.08026,0.490966,3849.84
15,0,0.001,14.4329,2000,1.07062,1.00359,1.50475,1.14611,266.625,222.688,959.85,801.675,13.75,5.5,1.46929e+06,240.359,286.131,700,700,0.0769688,153.938,0.00693732,13.8746,24.1378,48275.7,142.562,-0.649821,2.04149e-10,1.0761,0.54647,4082.35
16,0,0.001,14.064,2000,1.12249,1.05017,1.54954,1.20374,271.688,227.688,978.075,819.675,14.75,5.625,1.46431e+06,241.244,286.314,700,700,0.0769688,153.938,0.006396,12.792,23.7822,47564.5,145.25,-0.535839,3.26844e-11,1.072,0.397867,4308.77
17,0,0.001,14.7898,2000,1.24583,1.1739,1.74188,1.32663,292.625,251.188,1053.45,904.275,13.75,5.6875,1.4919e+06,224.69,268.503,700,700,0.0912188,182.438,0.00885006,17.7001,23.0268,46053.6,155.5,-0.754759,1.04067e-09,1.06748,0.539856,4536.89
18,0,0.001,14.2097,2000,1.24831,1.17498,1.72047,1.33033,286.062,247.5,1029.82,891,11.875,4.6875,1.45795e+06,231.827,275.708,700,700,0.0940625,188.125,0.00870772,17.4154,22.9638,45927.6,153.312,-0.756233,1.28016e-10,1.06378,-0.114454,4765.89
19,0,0.001,13.7072,2000,1.59501,1.50482,2.06616,1.69623,346.188,311.125,1246.28,1120.05,11.5,5.5,1.49725e+06,205.167,246.483,700,700,0.126812,253.625,0.0144264,28.8529,21.8362,43672.3,182.812,-1.3775,-5.72179e-10,1.05472,0.547896,4986.71
20,0,0.001,13.9718,2000,1.56312,1.47703,2.07394,1.65918,342.312,304.062,1232.33,1094.62,14.625,6.75,1.52235e+06,206.246,248.121,700,700,0.115469,230.938,0.0112649,22.5298,22.0476,44095.1,180.625,-1.01828,-2.87606e-10,1.04958,0.572371,5211.8
21,0,0.001,13.8999,2000,1.51381,1.42877,2.10668,1.60826,329.625,291.25,1186.65,1048.5,14.0625,5.75,1.50128e+06,205.056,247.098,700,700,0.110469,220.938,0.00958428,19.1686,22.0548,44109.6,174.812,-0.789861,2.00424e-09,1.04307,0.418768,5435.58
22,0,0.001,13.1995,2000,1.7926,1.70116,2.36395,1.89358,381.688,343.625,1374.07,1237.05,13.375,5.8125,1.46659e+06,185.081,225.689,700,700,0.138375,276.75,0.014091,28.182,21.2949,42589.8,200.312,-1.29334,-7.59413e-10,1.03273,0.396743,5657.67
23,0,0.001,13.782,2000,1.89705,1.80338,2.45102,2.00014,399.125,364.875,1436.85,1313.55,13.375,5.9375,1.55713e+06,178.237,218.656,700,700,0.149,298,0.0151489,30.2979,21.168,42335.9,209.375,-1.43067,-4.22389e-11,1.02533,0.554175,5879.69
24,0,0.001,13.7464,2000,1.82211,1.73461,2.42936,1.91811,387.375,348.375,1394.55,1254.15,14.3125,6.1875,1.43974e+06,180.013,221.022,700,700,0.138406,276.812,0.0123673,24.7347,21.3827,42765.3,203.875,-1.09625,-7.25685e-10,1.01995,0.53746,6101.11
25,0,0.001,14.4247,2000,2.05201,1.95541,2.61334,2.15781,424.688,392,1528.88,1411.2,12.75,5.5,1.55831e+06,167.935,207.967,700,700,0.164125,328.25,0.0161822,32.3643,20.9166,41833.1,222.562,-1.51613,-1.87874e-10,1.0084,0.39588,6323.19
26,0,0.001,13.183,2000,2.00667,1.91631,2.61626,2.10538,420.438,382.438,1513.58,1376.78,16.125,7.5,1.50585e+06,166.028,206.537,700,700,0.150906,301.812,0.0130567,26.1134,21.1074,42214.8,219.938,-1.17578,5.53873e-10,1.00283,-0.0381267,6544.56
27,0,0.001,12.9427,2000,2.13249,2.03752,2.72119,2.23594,444.688,406.812,1600.88,1464.53,15.375,6.8125,1.49616e+06,157.509,197.669,700,700,0.164969,329.938,0.0148359,29.6719,20.9297,41859.4,232.062,-1.40697,1.66921e-10,0.994397,0.411158,6762.51
