step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.001,16.218,2000,0.471052,0.439436,0.784825,0.506316,159.312,107.562,573.525,387.225,13,5.1875,1.47627e+06,293.519,347.7,700,700,0.0212813,0.000144169,-0.00230522,0.00105619,0.00336148,-0.000272915,0.043942,-0.0035173,4.04432e-12,1.09861,3.09849,0.497217,261.469
1,0.1,0.001,16.1436,2000,0.508297,0.47394,0.817747,0.547106,166.688,118.438,600.075,426.375,9.5,4.0625,1.48943e+06,291.371,345.595,700,700,0.0354687,0.0018776,-0.00116379,0.161502,0.162666,0.00446159,0.0493904,-0.16831,-4.46932e-11,1.09851,2.7032,0.338243,521.728
2,0.05,0.001,16.9489,2000,0.541293,0.504242,0.858944,0.583052,174.5,122,628.2,439.2,12.25,4.625,1.44338e+06,287.443,340.696,700,700,0.030375,0.000344915,0.00484818,0.0278072,0.0229578,0.00747336,0.0254618,-0.028924,2.1207e-10,1.09821,3.3643,0.489326,794.662
3,0.025,0.001,17.021,2000,0.434209,0.410159,0.812617,0.460859,143.5,97.3125,516.6,350.325,8.125,3.3125,1.48125e+06,296.412,348.572,700,700,0.0283438,0.000295161,0.00668699,-0.00923724,-0.0159274,0.013524,0.0566454,0.0104865,9.49907e-10,1.09775,2.48655,0.349859,1069.12
4,0.0125,0.001,17.5073,2000,0.558704,0.523316,0.912026,0.598577,174.875,128.562,629.55,462.825,9.75,3.9375,1.47271e+06,284.244,336.469,700,700,0.0399062,0.00205752,0.0108451,0.154036,0.143187,0.0195878,0.030326,-0.147483,9.88908e-12,1.09681,3.031,0.481012,1351.08
5,0.00625,0.001,16.6468,2000,0.533654,0.498329,0.909753,0.573175,167.438,120.375,602.775,433.35,10.125,3.625,1.47244e+06,285.323,336.925,700,700,0.034875,0.000542304,0.0117447,0.0445743,0.0328245,0.0194934,0.0413434,-0.0405001,1.03716e-09,1.09561,3.05311,0.398146,1619.39
6,0.003125,0.001,17.5538,2000,0.678335,0.631039,1.03082,0.731332,200.25,151,720.9,543.6,13,4.4375,1.45554e+06,272.679,323.436,700,700,0.043,0.00190594,0.0207848,0.141379,0.12059,0.0235883,0.0432244,-0.122084,2.95498e-09,1.09348,3.60102,0.423265,1890.13
7,0.0015625,0.001,16.7053,2000,0.679673,0.637861,1.07082,0.726602,198,151.875,712.8,546.75,10.875,4.625,1.45859e+06,270.53,320.94,700,700,0.04875,0.0030978,0.0244711,0.252595,0.22812,0.029792,0.0368991,-0.228555,2.61897e-10,1.09106,2.81939,0.262838,2159.14
8,0.00078125,0.001,16.5492,2000,0.789145,0.738352,1.18079,0.846592,218.062,173.375,785.025,624.15,11.25,4.4375,1.46865e+06,264.851,313.731,700,700,0.0585625,0.00460227,0.0361511,0.36204,0.325884,0.0370403,0.0466443,-0.325258,3.09136e-09,1.08719,3.2029,0.406496,2425.95
9,0.000390625,0.001,16.2358,2000,0.803743,0.751814,1.22833,0.862312,217.25,172.875,782.1,622.35,11.625,4.375,1.44037e+06,262.576,310.685,700,700,0.057375,0.0039784,0.0399057,0.302554,0.262642,0.0462888,0.0561173,-0.256484,6.20574e-10,1.08369,3.3487,0.356399,2687.85
