step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.01,0.001,17.1422,2000,0.457101,0.427007,0.783472,0.490697,154.75,106.562,557.1,383.625,9.125,3.25,1.47442e+06,295.884,350.351,700,700,0.00765625,-0.00102874,-0.000865385,-0.0782934,-0.0774279,-8.35024e-05,0.0348051,0.0708202,0.00168369,1.09689,4.05825,4.50019,280.088
1,0.1,0.01,0.001,17.3257,2000,0.643148,0.596871,0.969281,0.695308,187.812,142.125,676.125,511.65,11,3.6875,1.47023e+06,282.774,332.995,700,700,0.0160625,0.000515536,-0.115504,0.0111539,0.126643,0.0286217,0.0355462,-0.128224,0.0012025,1.09387,4.23703,3.09199,561.798
2,0.05,0.01,0.001,16.198,2000,0.851897,0.789258,1.23063,0.924023,207.875,172.438,748.35,620.775,8,3.1875,1.47232e+06,276.036,320.075,700,700,0.0462188,0.00434118,0.0611196,0.359068,0.297949,0.0418882,0.0333311,-0.29806,0.00244225,1.08146,3.10598,2.92046,825.148
3,0.025,0.01,0.001,15.2965,2000,0.951172,0.884468,1.5535,1.0274,210.562,183.562,758.025,660.825,3.625,1.3125,1.51575e+06,274.398,315.04,700,700,0.0736563,0.00720058,0.313934,0.593412,0.279461,0.0775857,0.0349755,-0.279333,0.00387998,1.07747,1.76044,3.05921,1074.26
4,0.0125,0.01,0.001,15.0128,2000,1.17241,1.09751,1.91313,1.25756,235.125,211.188,846.45,760.275,3.5,1.75,1.49974e+06,263.467,301.098,700,700,0.0880937,0.00886049,0.625048,0.735679,0.110615,0.137317,0.0347356,-0.111462,0.00301309,1.06727,1.40707,3.08269,1318.83
5,0.00625,0.01,0.001,14.2544,2000,1.48114,1.38416,2.28381,1.59215,264.812,243.25,953.325,875.7,4.375,2.5625,1.51139e+06,248.211,282.328,700,700,0.09975,0.0107573,0.775325,0.857226,0.0819216,0.126424,0.0342494,-0.080914,0.0041745,1.05064,1.65613,2.93848,1551.1
6,0.003125,0.01,0.001,14.0534,2000,1.94903,1.81967,2.6629,2.09749,316.25,298.625,1138.5,1075.05,4.625,2.875,1.59052e+06,223.002,254.655,700,700,0.126188,0.0146149,0.864149,1.07138,0.207223,0.114781,0.0337057,-0.206015,0.00162554,1.02717,1.61021,2.89287,1780.04
7,0.0015625,0.01,0.001,13.3433,2000,2.73049,2.51679,3.13154,2.98277,353.375,339.25,1272.15,1221.3,8.375,4.6875,1.68999e+06,207.735,233.383,700,700,0.12775,0.0164844,1.03321,1.0584,0.0251816,0.0187902,0.035333,-0.026137,0.00185191,0.983657,3.40253,2.91476,1997.61
8,0.00078125,0.01,0.001,12.3128,2000,3.3731,3.0868,3.45831,3.71619,386.5,374.375,1391.4,1347.75,9.125,4.6875,1.72911e+06,192,214.842,700,700,0.141562,0.0180496,1.08791,1.07984,-0.0080562,0.00293291,0.0300237,0.00823394,0.00178924,0.949474,3.20463,2.3557,2197.95
9,0.000390625,0.01,0.001,11.4505,2000,3.29402,3.01217,3.47688,3.6323,375.625,364.438,1352.25,1311.97,6.375,3.4375,1.72586e+06,195.963,218.978,700,700,0.150344,0.0169892,1.07122,0.999718,-0.071525,-0.0173496,0.0337059,0.0843774,0.00428931,0.969571,1.9232,2.6819,2384.92
