step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.01,0.0003,63.9272,2000,0.588081,0.552725,0.97543,0.627199,174.406,152.406,627.862,548.663,13.1875,4.75,1.59076e+06,11130.2,11186.8,700,700,-0.344426,-0.00646757,-0.00184324,-0.110861,-0.109018,5.29718e-05,0.279121,-0.0124879,0.0111013,1.59821,0.742604,223.273,494.296
1,0.2,0.01,0.0003,60.9287,2000,0.808904,0.762791,1.30222,0.85989,211.438,193.406,761.175,696.263,15.75,5.9375,1.57872e+06,11136.9,11188.6,700,700,-1.09398,-0.0121604,-0.061106,-0.268605,-0.207519,0.14647,0.660152,-0.00884624,0.0111642,1.5729,6.33825,242.317,1009.26
2,0.1,0.01,0.0003,57.9243,2000,1.31232,1.25217,1.98839,1.37738,315.562,293.969,1136.03,1058.29,20.9375,8.15625,1.57085e+06,11064.9,11112.7,700,700,-2.44914,-0.0381266,0.356661,-0.400934,-0.757622,0.0669385,0.226178,-0.00397262,0.00745885,1.58134,0.297573,229.175,1488.71
3,0.05,0.01,0.0003,56.219,2000,1.50936,1.4472,2.17632,1.57613,358,335.531,1288.8,1207.91,23.2188,9.125,1.60402e+06,11013.1,11060.6,700,700,-3.22937,-0.0384772,0.827607,-0.0638473,-0.891473,0.0585552,0.20494,-0.00315834,0.011365,1.53624,7.21285,247.307,1982.74
4,0.05,0.01,0.0003,57.5571,2000,1.72212,1.66678,2.40655,1.78075,409.531,385.656,1474.31,1388.36,24.5,10.3125,1.58116e+06,11038.1,11086,700,700,-5.29387,-0.0905725,1.32671,-0.593257,-1.91998,0.0635345,0.341973,0.00115373,0.0131635,1.50322,895.138,259.727,2492.97
5,0.025,0.01,0.0003,56.6327,2000,2.05355,1.99076,2.71554,2.11986,481.344,455.219,1732.84,1638.79,28.0625,11.75,1.56339e+06,10929.4,10976.2,700,700,-11.5907,-0.242939,1.85366,-2.83386,-4.68752,0.019952,0.397935,-0.00201693,0.0136022,1.48622,22.0521,242.286,2984.09
6,0.025,0.01,0.0003,64.1311,2000,1.95927,1.89728,2.46835,2.02499,522.406,487.312,1880.66,1754.32,30.5938,12.3125,1.48272e+06,10983.1,11036.2,700,700,-18.7816,-0.437973,2.5658,-5.62356,-8.18938,0.0057703,0.478974,0.00262483,0.0149767,1.44201,5976.14,245.394,3513.43
7,0.025,0.01,0.0003,75.2164,2000,1.29703,1.2482,1.85571,1.3496,412.812,369.062,1486.12,1328.62,29.6875,12.4375,1.46159e+06,10997.3,11059.1,700,700,-20.1936,-0.328309,3.01537,-3.33772,-6.35311,0.0408007,0.753219,0.000838887,0.0156892,1.49636,2.58767,236.258,4085.43
8,0.025,0.01,0.0003,82.5436,2000,0.83752,0.80852,1.37348,0.868464,313.906,267.5,1130.06,963,25.5938,10.375,1.52989e+06,11058.1,11128.5,700,700,-12.2636,-0.0720685,3.65163,1.56299,-2.08869,0.107495,0.260652,0.0064401,0.0240258,1.40067,2928.33,231.473,4676.26
9,0.025,0.01,0.0003,84.5427,2000,0.760368,0.732469,1.26763,0.790311,295,250.219,1062,900.788,22.5,9.15625,1.56981e+06,11039.3,11112.5,700,700,-3.813,0.15017,4.80157,6.25627,1.45468,0.122667,0.729951,0.00348128,0.0184032,1.38087,16.2251,232.077,5288.33
