step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.003,0.001,36.4024,2000,0.344294,0.344294,0.726486,,103.781,85.875,373.613,309.15,11.75,0,1.64481e+06,11165.3,11221,700,700,-3.56597,-0.00637662,0.000979173,-0.10669,-0.107669,-0.00015047,0.0533501,0.107211,0.000719226,1.60874,14.5025,205.85,356.393
1,0.1,0.003,0.001,32.8767,2000,0.349858,0.349858,0.770817,,104.938,86.9375,377.775,312.975,11.0625,0,1.65045e+06,11246.6,11301.7,700,700,-2.54966,-0.00160054,-0.055571,-0.075859,-0.0202824,0.229483,0.0698694,0.0198636,0.000561477,1.60724,5.44672,198.929,693.792
2,0.05,0.003,0.001,33.2934,2000,0.371433,0.371433,0.806544,,112.375,92,404.55,331.2,13.3125,0,1.64099e+06,11139.3,11195,700,700,-2.45372,-0.00102507,-0.0806957,-0.087991,-0.00728904,0.307816,0.0713906,0.00663377,0.00101195,1.60493,3.63656,189.776,1023.67
3,0.025,0.003,0.001,32.3339,2000,0.347983,0.347983,0.797042,,101.5,85.375,365.4,307.35,9.8125,0,1.6372e+06,11153.9,11208.1,700,700,-2.80173,-0.00022508,-0.0611035,-0.0591018,0.00200031,0.457207,0.0236207,-0.00287831,0.00170966,1.59964,3.21882,193.395,1351.58
4,0.0125,0.003,0.001,32.7329,2000,0.301948,0.301948,0.763151,,88.4375,75.125,318.375,270.45,8.3125,0,1.64369e+06,11147.2,11202.1,700,700,-1.67934,0.000565636,-0.089454,-0.0689662,0.0204907,0.614523,0.0649652,-0.0216411,0.0019503,1.59533,2.43961,194.266,1683.16
5,0.0125,0.003,0.001,31.6035,2000,0.416092,0.416092,1.01952,,109.469,99.5,394.087,358.2,6.5625,0,1.64204e+06,11131.6,11182.8,700,700,-0.5833,0.00258101,-0.0388317,0.0056029,0.0444325,0.656223,0.0671032,-0.0450129,0.00185498,1.58406,0.216658,198.12,2015.02
6,0.00625,0.003,0.001,29.5217,2000,0.470594,0.470594,1.30826,,108.531,109.906,390.712,395.663,2.4375,0,1.70403e+06,11180.3,11227.1,700,700,-0.0650592,0.00346538,0.0647626,0.106365,0.0415986,0.77883,0.057586,-0.0419951,0.00217436,1.56427,0.0213441,151.9,2291.52
7,0.003125,0.003,0.001,29.1904,2000,0.404957,0.404957,1.39443,,91.875,94.0625,330.75,338.625,1.6875,0,1.68271e+06,11135.1,11180.3,700,700,-0.0218756,0.00330334,0.145437,0.171842,0.0264053,0.790994,0.0559566,-0.026518,0.00104234,1.55753,0.0169333,144.011,2556.97
8,0.0015625,0.003,0.001,28.9341,2000,0.374747,0.374747,1.41052,,84.1875,87.4688,303.075,314.887,0.375,0,1.69474e+06,11193.7,11239,700,700,0.017887,0.00325726,0.175259,0.196105,0.0208436,0.830578,0.0564616,-0.020887,0.000836119,1.56663,0.0088702,144.364,2822.97
9,0.00078125,0.003,0.001,28.0649,2000,0.452254,0.452254,1.56442,,99.5938,102.125,358.538,367.65,0.3125,0,1.67111e+06,11183.1,11227.5,700,700,0.0346811,0.00319015,0.192854,0.20835,0.0154966,0.815038,0.061342,-0.0155025,0.000691058,1.5718,0.00461238,135.691,3076.06
10,0.000390625,0.003,0.001,27.7452,2000,0.525742,0.525742,1.70064,,114.031,116.906,410.513,420.863,0.1875,0,1.69691e+06,11212,11255.8,700,700,0.0483962,0.00312156,0.199919,0.212343,0.012424,0.814133,0.0598707,-0.0124389,0.000476087,1.57511,0.00539326,137.717,3331.53
11,0.000195313,0.003,0.001,27.9019,2000,0.661011,0.661011,1.91374,,135.094,143.719,486.337,517.388,0.5,0,1.73407e+06,11174.4,11216.9,700,700,0.0515669,0.00304544,0.207991,0.216519,0.00852821,0.700256,0.0267298,-0.0085496,0.000731761,1.5767,0.0104147,130.532,3578.78
12,9.76563e-05,0.003,0.001,27.2771,2000,0.777411,0.777411,2.0502,,152.219,160.594,547.987,578.138,1.125,0,1.70576e+06,11133.9,11174.7,700,700,0.0344113,0.0029548,0.21543,0.220247,0.00481906,0.559502,0.0454838,-0.00486629,0.000663427,1.57752,0.0146898,131.799,3825.93
13,4.88281e-05,0.003,0.001,25.8836,2000,0.926387,0.926387,2.22711,,172.125,181.25,619.65,652.5,1.25,0,1.71047e+06,11115.8,11154.7,700,700,0.0273219,0.00286621,0.21891,0.22026,0.00134975,0.461499,0.0401345,-0.00136643,0.000811746,1.57463,0.0422047,107.756,4043
14,2.44141e-05,0.003,0.001,25.4177,2000,1.07049,1.07049,2.38068,,187.75,198.406,675.9,714.263,0.78125,0,1.72947e+06,11127.6,11164.2,700,700,0.067261,0.00307007,0.221189,0.22389,0.00270033,0.477929,0.0403456,-0.00273648,0.00077056,1.57327,0.00865527,110.286,4260.43
15,1.2207e-05,0.003,0.001,22.9828,2000,1.26653,1.26653,2.58156,,196.156,213.188,706.162,767.475,1.5625,0,1.89002e+06,11069.6,11102.9,700,700,0.0459438,0.00296762,0.222251,0.221302,-0.000948548,0.335563,0.052041,0.000922635,0.00100006,1.56952,0.0330746,52.592,4411.47
